,Bezeichnung_Jobs,Nähe,Deutschland
313,"843 Lehr-,Forschungstätigkeit an Hochschulen['Social Work Teachers, Postsecondary', 'Law Teachers, Postsecondary', 'Criminal Justice and Law Enforcement Teachers, Postsecondary']",44.0,4685.0
284,"822 Ernährungs-,Gesundheitsberatung,Wellness['Medical and Health Services Managers']",45.0,3926.0
308,"842 Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd['Geography Teachers, Postsecondary', 'Anthropology and Archeology Teachers, Postsecondary', 'Sociology Teachers, Postsecondary', 'Psychology Teachers, Postsecondary', 'Economics Teachers, Postsecondary', 'Political Science Teachers, Postsecondary', 'Area, Ethnic, and Cultural Studies Teachers, Postsecondary']",45.28571429,4417.0
312,"843 Lehr-,Forschungstätigkeit an Hochschulen['Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary', 'Chemistry Teachers, Postsecondary', 'Environmental Science Teachers, Postsecondary', 'Physics Teachers, Postsecondary']",46.75,4685.0
315,"844 Lehrtätigk. außerschul.Bildungseinricht.['Directors, Religious Activities and Education']",48.0,3840.0
314,"843 Lehr-,Forschungstätigkeit an Hochschulen['Business Teachers, Postsecondary']",48.0,4685.0
302,"841 Lehrtätigkeit an allgemeinbild. Schulen['History Teachers, Postsecondary', 'Art, Drama, and Music Teachers, Postsecondary', 'English Language and Literature Teachers, Postsecondary', 'Communications Teachers, Postsecondary', 'Philosophy and Religion Teachers, Postsecondary', 'Foreign Language and Literature Teachers, Postsecondary']",51.5,4915.0
307,"842 Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd['Instructional Coordinators', 'Instructional Designers and Technologists']",51.5,4417.0
262,"813 Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.['Emergency Management Directors']",52.0,3392.0
311,"843 Lehr-,Forschungstätigkeit an Hochschulen['Mathematical Science Teachers, Postsecondary', 'Computer Science Teachers, Postsecondary']",53.5,4685.0
